,country_code,name_jp,name_jps,name_en,name_ens,capital_jp,capital_en,iscapital,lat,lon,pop,pop_year,pop_ref,note_jp
13,DZ,アルジェリア民主人民共和国,アルジェリア,People's Democratic Republic of Algeria,Algeria,アルジェ,Algiers,1,36.753768,3.0587561,2712944,2008,DYB2017,
21,YE,イエメン共和国,イエメン,Republic of Yemen,Yemen,サヌア,Sana'a,1,15.3694451,44.1910066,1976286,2009,DYB2017,
99,UA,ウクライナ,ウクライナ,Ukraine,Ukraine,キエフ,Kiev,1,50.4501,30.5234,2893215,2018,DYB2018,
118,CA,カナダ,カナダ,Canada,Canada,オタワ,Ottawa,1,45.42152960000001,-75.69719309999999,1007501,2018,DYB2018,新・百万都市
134,KP,朝鮮民主主義人民共和国,北朝鮮,Democratic People's Republic of Korea,North Korea,ピョンヤン,Pyongyang,1,39.0392193,125.7625241,2581076,2008,DYB2017,
149,ZM,ザンビア共和国,ザンビア,Republic of Zambia,Zambia,ルサカ,Lusaka,1,-15.3875259,28.3228165,1747152,2010,DYB2017,
349,DO,ドミニカ共和国,ドミニカ共和国,Dominican Republic,Dominican Republic,サントドミンゴ,Santo_Domingo,1,18.4860575,-69.9312117,1029607,2018,DYB2018,
375,NE,ニジェール共和国,ニジェール,Republic of Niger,Niger,ニアメ,Niamey,1,13.511596300000003,2.1253854,1026848,2012,DYB2017,
423,FR,フランス共和国,フランス,French Republic,France,パリ,Paris,1,48.856614,2.3522218999999995,2206488,2015,DYB2018,
462,RO,ルーマニア,ルーマニア,Romania,Romania,ブカレスト,Bucharest,1,44.4267674,26.1025384,1826830,2017,DYB2018,
